ID,start_time,end_time,subset_cen_lon,subset_cen_lat,subset_duration(hour),subset_area(sqkm),subset_ture_area(sqkm),raw_duration(hour),raw_timestamp(hour),season,season_id,month,avg_spd(km/hour),avg_bearing(degree),raw_avg_land_area(sqkm),arkansas_storm,selected_mtpr(mm/hour),land_mtpr,land_mer,land_mvimd,land_dwdt,land_t2m,land_mcpr,land_mcsr,land_mlspr,land_mlssr,land_msl,land_q,land_qx,land_qy,land_tcwv,land_residual,year
195104370,1951-06-11 12:00:00,1951-06-11 13:00:00,-97.32823,35.229107,2,25000,25162.021,48,1951-06-10 16:00:00,sum,2,6,69.47448694087188,118.77816070923498,625306.28125,1,11.105352,11.105352,-0.04051834,-13.345479,0.89613515,290.2869,10.179713,2.0954761e-07,0.9255803,0.0,101064.36,824.50354,787.6173,-48.737053,39.011433,-1.3845103,1951
195210510,1952-11-25 11:00:00,1952-11-25 12:00:00,-93.7524,35.439995,2,25000,25082.566,78,1952-11-23 03:00:00,fal,3,11,17.354883113891376,18.556807343944378,2112212.375,1,10.04181,10.04181,0.011937063,-9.175941,0.14617135,282.26953,0.41388473,0.0,9.62792,0.0,100172.45,2736.9414,297.3363,2631.809,32.135418,1.023977,1952
195306265,1953-07-20 11:00:00,1953-07-20 12:00:00,-94.81164,35.559273,2,25000,25057.043,98,1953-07-18 06:00:00,sum,2,7,87.5640699926941,-120.93405982943754,943178.71875,1,9.521101,9.521101,-0.05252715,-11.0032015,0.59822863,294.96802,1.1274242,0.0,8.393757,0.0,101323.31,1685.5697,1119.541,1121.8872,57.034035,-0.9363993,1953
195402801,1954-04-30 18:00:00,1954-04-30 19:00:00,-95.629295,35.563248,2,25000,25066.133,51,1954-04-29 15:00:00,spr,1,4,55.435961917400576,41.26089996981373,1374466.125,1,12.785565,12.785565,-0.13951883,-10.351785,-3.306462,291.5468,2.4311209,0.0,10.354434,0.0,100559.875,1935.6401,1083.2173,1463.6792,41.611683,-1.0122001,1954
195504722,1955-06-19 07:00:00,1955-06-19 08:00:00,-100.05965,35.844257,2,25000,25581.455,25,1955-06-18 20:00:00,sum,2,6,30.006833009089426,134.4415058363081,112243.26953125,1,7.9085007,7.9085007,-0.033168692,-8.929108,-0.07878048,291.69055,7.4382463,2.0954757e-07,0.4702649,-4.1909513e-07,101682.08,688.2513,534.7688,340.7287,36.814037,-1.1325563,1955
195602635,1956-04-29 01:00:00,1956-04-29 02:00:00,-95.50435,35.196663,2,25000,25176.947,53,1956-04-28 16:00:00,spr,1,4,56.09354131037304,90.31770659168433,1037198.375,1,9.258927,9.258927,-0.03405586,-10.03417,0.24437074,292.70898,8.403931,0.0,0.8549365,-4.1909516e-07,100797.82,2624.9863,1633.8914,2004.2627,42.20772,-0.56492776,1956
195703859,1957-05-21 07:00:00,1957-05-21 08:00:00,-95.8309,36.158955,2,25000,25484.572,74,1957-05-19 15:00:00,spr,1,5,43.02024701421159,115.95049831957938,1897081.0625,1,10.592903,10.592903,-0.023894303,-11.174603,0.8209451,294.24838,9.735413,-2.095476e-07,0.85750884,0.0,99822.02,2881.2146,2221.989,1807.7317,40.122204,0.21535045,1957
195805469,1958-07-07 04:00:00,1958-07-07 05:00:00,-96.154236,35.214474,2,25000,25162.889,27,1958-07-06 08:00:00,sum,2,7,41.01665150288022,67.12006640561987,921296.09375,1,11.959123,11.959123,-0.0598269,-13.484598,0.08510515,294.98245,1.835121,0.0,10.124021,0.0,101493.375,737.45807,141.53395,607.2014,48.298214,-1.5001972,1958
195909671,1959-10-04 16:00:00,1959-10-04 17:00:00,-96.79759,36.551285,2,25000,24729.896,128,1959-09-30 20:00:00,fal,3,9,19.2520098287711,46.767309709048824,851573.90625,1,9.089815,9.089815,-0.039250884,-9.431455,0.17442057,287.2019,1.5541893,-2.095476e-07,7.5355906,0.0,101035.86,2528.823,386.51953,2485.797,47.05165,-0.20647028,1959
196003673,1960-05-29 00:00:00,1960-05-29 01:00:00,-97.66273,36.612404,2,25000,24695.75,37,1960-05-28 10:00:00,spr,1,5,70.54652775658865,148.63584971497292,321426.84375,1,8.50894,8.50894,-0.07494398,-12.048758,2.78243,295.67517,8.029008,0.0,0.4799665,4.190952e-07,100770.15,1144.5085,824.7193,704.19556,38.57208,-0.8323314,1960
